Date,WMT,COST,TGT,AMZN,BBY
5/9/2000,38.025024,36.472511,25.163679,56.25,22.427946
5/10/2000,40.670635,36.287113,25.50342,53.3125,23.072313
5/11/2000,40.177364,36.935951,25.322226,54.875,24.44418
5/12/2000,40.760303,35.452934,25.469423,53.75,23.758242
5/15/2000,40.894817,36.287113,25.729918,56.0625,24.797535
5/16/2000,41.612293,38.048191,25.88846,59.0625,25.961548
5/17/2000,40.446411,35.394939,25.302467,61,24.963827
5/18/2000,41.567436,34.665108,25.768066,55.375,25.608183
5/19/2000,40.939674,33.367477,25.506884,52.625,24.631248
5/22/2000,41.163887,31.977148,25.484173,51.875,23.986887
5/23/2000,41.029366,30.123405,24.348513,46.6875,24.277889
5/24/2000,40.805149,23.63529,23.439987,48.5625,22.282446
5/25/2000,39.459927,22.244982,23.598974,45.5,23.259388
5/26/2000,38.742474,22.893793,23.417274,46.5,20.744291
5/30/2000,38.294064,24.098732,22.463324,51.75,21.845943
5/31/2000,41.343239,23.681633,22.781301,48.3125,21.284729
6/1/2000,40.894817,24.006044,22.894863,50.1875,23.508814
6/2/2000,42.374573,25.396353,23.985107,57.875,24.98461
6/5/2000,42.553947,24.654856,23.371851,54.5,23.94532
6/6/2000,41.791637,23.542604,20.918825,50.5625,22.199305
6/7/2000,41.522614,24.284109,21.691071,51.8125,20.744291
6/8/2000,40.805149,23.774321,21.713781,51.875,21.180801
6/9/2000,38.742474,23.959696,20.441845,52.1875,20.765079
6/12/2000,37.845661,23.310883,19.80588,48.4375,19.621861
6/13/2000,39.459927,23.820662,20.578123,49,21.118443
6/14/2000,39.592785,24.145069,21.077816,46.4375,22.40716
6/15/2000,39.862141,24.608505,21.827358,46.3125,22.84367
6/16/2000,38.695004,24.098732,21.259518,46,23.093094
6/19/2000,39.054108,23.727982,20.782543,45.3125,21.139227
6/20/2000,39.143902,23.449919,19.987581,46.125,21.263939
6/21/2000,38.739895,24.006044,19.056349,46.0625,21.492586
6/22/2000,37.707424,23.727982,19.4879,42,21.575724
6/23/2000,38.605213,23.727982,19.646885,33.875,21.139227
6/26/2000,38.605213,23.63529,20.146576,33.9375,19.954432
6/27/2000,40.804836,24.469479,20.282854,36.5,20.307798
6/28/2000,40.209969,23.959696,19.868313,37.875,21.243158
6/29/2000,38.874565,23.774321,20.169287,37.125,20.578007
6/30/2000,41.38839,24.469479,21.077816,36.3125,21.035297
7/3/2000,40.849716,25.349998,21.009676,37,21.34709
7/5/2000,40.93948,24.654856,20.964252,36.5,20.370142
7/6/2000,41.298626,24.376791,20.509991,36.0625,21.305513
7/7/2000,44.216454,25.62808,21.395803,36.125,23.529602
7/10/2000,43.992001,27.481827,22.236191,35.0625,24.652039
7/11/2000,44.530674,26.369566,22.894863,33.125,25.192467
7/12/2000,43.812431,27.111073,22.826731,35.0625,25.441906
7/13/2000,42.46574,27.064734,22.576885,35,25.234035
7/14/2000,42.735088,26.693979,22.576885,42.625,25.878401
7/17/2000,43.610409,26.323217,22.133961,41.125,26.387629
7/18/2000,43.139099,25.118292,21.554787,41.75,26.460407
7/19/2000,43.0942,24.423132,21.463938,40.875,25.088541
7/20/2000,43.0942,24.423132,22.168051,40.3125,24.943035
7/21/2000,42.869774,23.913359,21.759209,41.125,24.92226
7/24/2000,41.253735,23.496258,21.304935,38.75,24.672825
7/25/2000,42.510616,23.496258,21.895489,37.625,24.44418
7/26/2000,42.196419,23.218197,22.713163,36.0625,25.150898
7/27/2000,43.139099,23.681633,22.667736,31.375,25.109333
7/28/2000,42.151505,23.913359,22.122622,30,23.94532
7/31/2000,39.682571,24.145069,21.077816,30.125,24.194746
8/1/2000,39.143902,24.098732,21.077816,30.25,24.735178
8/2/2000,38.829674,24.886566,22.168051,30.8125,24.98461
8/3/2000,38.695004,25.62808,21.850065,31.5,23.924528
8/4/2000,38.021667,26.323217,21.577507,32.5,23.446465
8/7/2000,39.592785,27.203754,22.622307,33.8125,23.633532
8/8/2000,41.38839,27.852577,23.167429,32.9375,24.277889
8/9/2000,38.515457,26.833004,22.531464,30.875,23.986887
8/10/2000,36.630062,25.489042,21.622934,30.4375,23.633532
8/11/2000,37.43808,25.906124,21.532084,33.6875,24.132391
8/14/2000,37.976772,26.508608,21.759209,34.875,25.441906
8/15/2000,37.034096,25.767105,19.62417,37.5625,24.568897
8/16/2000,35.866943,24.51582,19.209036,38.625,23.675102
8/17/2000,35.911827,24.469479,18.981441,38.25,23.550383
8/18/2000,36.540295,24.793886,19.300077,39,24.527315
8/21/2000,35.193596,24.284109,19.118006,37.5,23.633532
8/22/2000,35.283375,24.423132,20.028381,36.5,24.028458
8/23/2000,35.283375,23.913359,19.618713,38.8125,24.98461
8/24/2000,35.507828,24.006044,19.800789,39.375,25.171688
8/25/2000,36.270958,24.423132,19.800789,39.9375,24.818325
8/28/2000,35.552711,24.51582,19.436626,39.125,23.882963
8/29/2000,35.507828,25.767105,19.254559,39.625,24.090818
8/30/2000,34.789581,26.415915,18.981441,42.9375,23.612747
8/31/2000,34.206024,25.535385,16.887573,41.5,20.827438
9/1/2000,35.014034,26.184193,17.934504,41.5,21.284729
9/5/2000,35.732269,26.833004,18.207617,45.6875,21.222366
9/6/2000,35.911827,27.111073,18.253138,45.875,20.287008
9/7/2000,36.630062,27.064734,18.071068,43.5,20.328581
9/8/2000,37.43808,27.94525,18.116583,42.9375,20.785868
9/11/2000,39.054108,27.898914,19.209036,42.375,21.430231
9/12/2000,38.78479,27.910475,19.527674,42.6875,23.009954
9/13/2000,38.738045,28.455042,19.300077,42.4375,23.40489
9/14/2000,37.749371,27.574501,20.392532,44.875,23.155453
9/15/2000,37.389847,26.184193,19.709755,43.625,23.300955
9/18/2000,36.760696,25.257324,19.118006,42.8125,22.656591
9/19/2000,35.8619,24.793886,18.70833,40.75,22.344801
9/20/2000,34.873215,25.396353,18.753849,37.5,22.344801
9/21/2000,35.951775,26.230545,18.571777,40.0625,22.40716
9/22/2000,36.31131,25.906124,19.254559,41.4375,22.40716
9/25/2000,35.232742,25.859789,18.844893,40.375,21.866737
9/26/2000,34.064316,25.071939,18.173458,39.75,20.723515
9/27/2000,34.603588,25.62808,18.071068,37.875,21.201591
9/28/2000,34.918171,26.601286,18.3897,40,21.887518
9/29/2000,34.603588,25.906124,18.662804,38.4375,21.160013
10/2/2000,33.255413,24.423132,18.207617,35.875,20.785868
10/3/2000,32.94083,25.083508,18.298664,35.0625,20.723515
10/4/2000,33.16552,25.570086,18.571777,36,20.557224
10/5/2000,33.120571,24.932913,18.890404,33.5625,20.536444
10/6/2000,32.716125,24.840223,17.752432,31.5625,18.811209
10/9/2000,32.446487,25.349998,17.843462,30.0625,18.457842
10/10/2000,33.345276,24.469479,17.524841,30.4375,17.335407
10/11/2000,32.581314,22.708412,17.024124,27.8125,16.129831
10/12/2000,31.727446,23.171848,16.568933,25.125,14.113603
10/13/2000,32.356613,23.820662,17.524841,28.4375,15.714119
10/16/2000,34.019375,23.727982,17.752432,24.3125,15.298395
10/17/2000,33.075638,23.727982,17.251719,21.9375,13.801814
10/18/2000,33.614914,24.469479,17.479319,25.125,14.716391
10/19/2000,34.378895,25.906124,18.890404,27.75,16.150616
10/20/2000,33.480095,25.442692,18.298664,30.8125,13.344528
10/23/2000,34.019375,24.886566,18.025539,30,14.591677
10/24/2000,34.783333,25.164629,18.071068,29.5625,14.882678
10/25/2000,33.030708,24.469479,17.661394,31.875,14.32146
10/26/2000,31.233107,24.469479,17.661394,36.875,14.778751
10/27/2000,31.098293,24.979258,17.797947,35.625,15.132109
10/30/2000,31.457794,25.62808,18.571777,32.875,15.963541
10/31/2000,32.62624,27.157408,20.119427,36.625,16.691053
11/1/2000,33.569984,26.508608,20.073904,37.375,16.545549
11/2/2000,34.828278,26.833004,20.665642,39.75,18.08371
